Taxon,Island,PopName, Identifier, Volcano,Lat,Long
Nesosydne chambersi,Hawaii,1,  06FBa, Mauna Loa,19.515,-155.412
Nesosydne chambersi,Hawaii,2,  0807a, Mauna Loa,19.499,-155.385
Nesosydne chambersi,Hawaii,3,  LOR1, Mauna Loa,19.577,-155.474
Nesosydne chambersi,Hawaii,4,  0849a, Mauna Loa,19.609,-155.47
Nesosydne chambersi,Hawaii,5,  0851a, Mauna Loa,19.617,-155.472
Nesosydne chambersi,Hawaii,6,  06GV1, Mauna Loa,19.686,-155.447
Nesosydne chambersi,Hawaii,7,52002, Mauna Loa,19.672,-155.346
Nesosydne chambersi,Hawaii,8,  W0962, Mauna Kea,19.81,-155.398
Nesosydne chambersi,Hawaii,9,  P005B, Mauna Kea,19.847,-155.391
Nesosydne chambersi,Hawaii,10, JI10, Mauna Kea,19.903,-155.452
Nesosydne bridwelli,Maui,1,InsideCrater_PalikuSide,Haleakala,20.7297,-156.195
Nesosydne bridwelli,Maui,2,InsideCrater_nrSlidingSands,Haleakala,20.7136,-156.234
Nesosydne bridwelli,Maui,3,InsideCrater_nrHoluaCabin,Haleakala,20.742,-156.2099
Nesosydne bridwelli,Maui,4,OutsideCrater_nrHalemau,Haleakala,20.738,-156.234
Nesosydne bridwelli,Maui,5,OutsideCrater_rdSummit,Haleakala,20.741,-156.24
Nesosydne raillardiae,Hawaii,1,MK_BACK,Mauna Kea,19.901,-155.435
Nesosydne raillardiae,Hawaii,2,MK_PuuLaau,Mauna Kea,19.806,-155.607
Nesosydne raillardiae,Hawaii,3,ML_Maunuka,Mauna Loa,19.17986,"	-155.76483"
Nesosydne raillardiae,Hawaii,4,ML_HIVOByronLedge,Mauna Loa,19.424,-155.257
Nesosydne raillardiae,Hawaii,5,ML_HIVONaupo,Mauna Loa,19.323,-155.159
Nesosydne raillardiae,Hawaii,6,ML_HIVOHilinaPali,Mauna Loa,19.337,-155.275
Drosophila sproati,Hawaii,1,Saddle4100,Mauna Loa,19.678021,-155.318923
Drosophila sproati,Hawaii,2,Saddle4700,Mauna Loa,19.678021,-155.318923
Drosophila sproati,Hawaii,3,Saddle5400,Mauna Loa,19.678021,-155.318923
Drosophila sproati,Hawaii,4,Stainback3200,Mauna Loa,19.574465,-155.216223
