gensp,fileName,fileLocation,sampLocation,value,signif
Drosophila sproati,sproati.arp,DonP_Drosophila,Haleakala,,
Drosophila sproati,sproati.arp,DonP_Drosophila,Hualali,,
Drosophila sproati,sproati.arp,DonP_Drosophila,Kilauea,,
Drosophila sproati,sproati.arp,DonP_Drosophila,Kohala,,
Drosophila sproati,sproati.arp,DonP_Drosophila,MaunaKea,0,1
Drosophila sproati,sproati.arp,DonP_Drosophila,MaunaLoa-noSaddle,,
Drosophila sproati,sproati.arp,DonP_Drosophila,ML-Saddle,0.17023,0.001
Drosophila sproati,sproati.arp,DonP_Drosophila,Saddle,,
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,Haleakala,0.5942,0.001
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,Hualali,,
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,Kilauea,,
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,Kohala,,
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,MaunaKea,0.5325,0.001
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,MaunaLoa-noSaddle,,
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,ML-Saddle,,
Laupala cerasina,"NospisaMHal.DAT, NospisaBIMK.DAT",Kerry_Laupala,Saddle,,
Nesosydne bridwelli,N_bridwelli_MauiCO1_5sites.arp,Kari_hoppers/N.bridwelli,Haleakala,0.18054,0.1
Nesosydne bridwelli,N_bridwelli_MauiCO1_5sites.arp,Kari_hoppers/N.bridwelli,Hualali,,
Nesosydne bridwelli,N_bridwelli_MauiCO1_5sites.arp,Kari_hoppers/N.bridwelli,Kilauea,,
Nesosydne bridwelli,N_bridwelli_MauiCO1_5sites.arp,Kari_hoppers/N.bridwelli,Kohala,,
