Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HETEROPTERA,Alydidae,,,Alydus pilosulus,Alydus,pilosulus,"Herrich-Schaeffer, 1847",adv,no,no,no,no,no,no,no,,herbivore,this family mainly eats seeds,n.d.,,na,unknown,unknown
HOMOPTERA,Membracidae,,,Antianthe expansa,Antianthe,expansa,"Germar, 1835",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Cestrum sp., Solanum sp., Acnistus sp., Nothocestrum sp.",,na,middle,on leaves or stems
HETEROPTERA,Lygaeidae,,,Appolonius sp.,Appolonius,sp.,,adv,no,no,no,no,no,no,prob not,?,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Lygaeidae,,,Blissus insularis,Blissus,insularis,"Barber, 1918",adv,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Rhyparochromidae,,,Brentiscerus australis,Brentiscerus,australis,Bergroth,adv,prob not,prob not,prob not,prob not,prob not,prob not,no,,herbivore,herbivorous,n.d.,,na,unknown,unknown
HETEROPTERA,Miridae,,,Campylomma hawaiiensis,Campylomma,hawaiiensis,"Kirkaldy, 1902",adv,no,no,no,no,no,no,no,2mm,herbivore,family is mostly herbivorous,n.d.,,na,,
HETEROPTERA,Cydnidae,,,Chilocoris pusillus,Chilocoris,pusillus,"Horvath, 1919",adv,no,no,no,no,no,prob not,no,2.6mm,herbivore,herbivore?,n.d., tend to be crop pests,na,unknown,unknown
HOMOPTERA,Cercopidae,,,Clastoptera xanthocephala,Clastoptera,xanthocephala,"Germar, 1839",adv,prob not,prob not,prob not,prob not,prob not,prob not,no,,herbivore,herbivorous,"Scaevola taccada, Clidemia sp. ",rosemary,na,middle,on leaves or stems
HETEROPTERA,Lygaeidae,,,Clerada apicicornis,Clerada,apicicornis,"Signoret, 1862",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",,Taken by beating dead branches of a species of palm in mountain forests.,na,middle,"Taken by beating dead branches of a species of palm in
mountain forests."
HETEROPTERA,Lygaeidae,,,Cligenes marianensis,Cligenes=Botocudo,marianensis,"Usinger, 1946",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Plataspidae,,web,Coptosoma xanthogramma,Coptosoma,xanthogramma,"White, 1842",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,4.5-5mms,herbivore,herbivorous,"Cajanus flavus, Phaseolus limensis, Phaseolus vulgaris, Erythrina sp., Cassia sp., Spathodea campanulata"," jade vine and maunaloa vine, C. xanthogramma has been
collected or reported from the following hosts: pigeon pea (Cajanusflavus),
lima bean (Phaseolus limensis), several varieties of string beans (P. vulgaris),
coral tree (Erythrina sp), shower trees (Cassia spp.) and African tulip-tree
(Spathodea campanulata).",na,"lower, middle",
HETEROPTERA,Tingidae,,,Corythucha morrilli,Corythucha,morrilli,"Osborn & Drake, 1917",adv,no,no,no,no,no,no,prob not,,herbivore,herbivorous,"Ambrosia artemisiaefolia, Pluchea indica, Verbesina encelioides,
Xanthium sp.",,na,"lower, middle",
HETEROPTERA,Lygaeidae,,,Elasmolomus v-album,Elasmolomus,v-album,"Stal, 1859",adv,no,no,no,no,no,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Miridae,,,Engytatus modestus,Engytatus,modestus,"Distant, 1893",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,?,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems
HETEROPTERA,Miridae,,,Fulvius variegatus,Fulvius,variegatus,"Poppius, 1909",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems
HETEROPTERA,Lygaeidae,,,Geocoris pallens,Geocoris,pallens,"Stal, 1854",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Ipomoea sp., Sophora sp., Sprobolus sp., Vitex sp.","bunch grass, ",na,"lower, middle",
HETEROPTERA,Lygaeidae,,,Geocoris punctipes,Geocoris,punctipes,"Say, 1832",adv,no,no,no,no,no,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Atriplex semibaccata, Cynodon dactylon, Ilex sandwicensis, Portulaca sp.",,na,"lower, middle",
HETEROPTERA,Cydnidae,,,Geotomus pygmaeus,Geotomus,pygmaeus,"Dallas, 1851",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,?,herbivore,herbivore? Bufo marinus eats them. ,Paspalum fimbriatum,"""bases of plants and in humus and loose earth. I have found the insects feeding in abundance at the roots of the grass Paspalum fimbriatum, and they are commonly taken under such objects as boards, stones and cow chips lying on the ground"" Zimmerman 1948",na,ground,"soil, litter"
HETEROPTERA,Lygaeidae,,,Graptostethus manillensis,Graptostethus,manillensis,"Stal, 1859",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Miridae,,,Halticus bractatus,Halticus,bractatus,"Say, 1831",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems
HETEROPTERA,Miridae,,,Halticus chrysolepis,Halticus,chrysolepis,"Kirkaldy, 1904",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,family is mostly herbivorous,n.d.,,na,unknown,on leaves or stems
