Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)",6,order,notes,Ka,Oa,Mo,Ln,Kh,Ma,Ha,key?,Ku,Mi,Pe,Li,Ly,Ga,Fr,Ne,Na,Nu,Gu,Tu,Ta,Of,Ol,subfamily,tribe
HETEROPTERA,Alydidae,,,Alydus pilosulus,Alydus,pilosulus,"Herrich-Schaeffer, 1847",adv,no,no,no,no,no,no,no,,herbivore,this family mainly eats seeds,n.d.,,na,unknown,unknown,4927,4653,,,Oa,,,,,,,,,,,,,,,,,,,,,,,
HOMOPTERA,Membracidae,,,Antianthe expansa,Antianthe,expansa,"Germar, 1835",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Cestrum sp., Solanum sp., Acnistus sp., Nothocestrum sp.",,na,middle,on leaves or stems,6043,5689,,Ka,Oa,,Ln,,Ma,Ha,,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Appolonius sp.,Appolonius,sp.,,adv,no,no,no,no,no,no,prob not,?,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown,4964,4686,,Ka,Oa,,,,,,,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Blissus insularis,Blissus,insularis,"Barber, 1918",adv,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,4965,4687,,,Oa,,,,,,,,,,,,,,,,,,,,,,,
HETEROPTERA,Rhyparochromidae,,,Brentiscerus australis,Brentiscerus,australis,Bergroth,adv,prob not,prob not,prob not,prob not,prob not,prob not,no,,herbivore,herbivorous,n.d.,,na,unknown,unknown,5409,5101,,,Oa,Mo,,,Ma,Ha,guess,,,,,,,,,,,,,,,,,
HETEROPTERA,Miridae,,,Campylomma hawaiiensis,Campylomma,hawaiiensis,"Kirkaldy, 1902",adv,no,no,no,no,no,no,no,2mm,herbivore,family is mostly herbivorous,n.d.,,na,,,5109,4821,,,Oa,Mo,,,Ma,Ha,Zimmerman 1948,,,,,,,,,,,,,,,,,
HETEROPTERA,Cydnidae,,,Chilocoris pusillus,Chilocoris,pusillus,"Horvath, 1919",adv,no,no,no,no,no,prob not,no,2.6mm,herbivore,herbivore?,n.d., tend to be crop pests,na,unknown,unknown,4954,4676,,,,,,,Ma,,Froeschner 1976,,,,,,,,,,,,,,,,,
HOMOPTERA,Cercopidae,,,Clastoptera xanthocephala,Clastoptera,xanthocephala,"Germar, 1839",adv,prob not,prob not,prob not,prob not,prob not,prob not,no,,herbivore,herbivorous,"Scaevola taccada, Clidemia sp. ",rosemary,na,middle,on leaves or stems,5553,5232,,,,,,,,Ha,,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Clerada apicicornis,Clerada,apicicornis,"Signoret, 1862",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",,Taken by beating dead branches of a species of palm in mountain forests.,na,middle,"Taken by beating dead branches of a species of palm in
mountain forests.",4966,4688,,Ka,Oa,,,,,Ha,Zimmerman 1948,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Cligenes marianensis,Cligenes=Botocudo,marianensis,"Usinger, 1946",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown,4967,4689,,Ka,Oa,,,,Ma,Ha,guess,,,,,,,,,,,,,,,,,
