NAME ,FAMILY ,Common Name ,Conservation Status ,Native Status ,Map Type ,DOWNLOAD JPG FILES ,"DOWNLOAD GIS FILES (shapefiles, in zip format) "
Abutilon eremitopetalum ,Malvaceae ,n/a ,Endangered ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Abutilon_eremitopetalum.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/abuerem.zip 
Abutilon incanum ,Malvaceae ,Ma‘o ,Apparently Secure ,Indigenous ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Abutilon_incanum.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/abuinca.zip 
Abutilon menziesii ,Malvaceae ,Ko‘oloa ‘ula ,Endangered ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Abutilon_menziesii.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/abumenz.zip 
Abutilon sandwicense ,Malvaceae ,n/a ,Endangered ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Abutilon_sandwicense.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/abusand.zip 
Acacia koa ,Fabaceae ,Koa ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Acacia_koa.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/acakoa.zip 
Acacia koaia ,Fabaceae ,Koai‘a ,Vulnerable ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Acacia_koaia.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/acakoai.zip 
Acaena exigua ,Rosaceae ,Liliwai ,Endangered ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Acaena_exigua.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/acaexig.zip 
Achyranthes mutica ,Amaranthaceae ,n/a ,Endangered ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Achyranthes_mutica.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/achmuti.zip 
Achyranthes splendens ,Amaranthaceae ,n/a ,Rare; also includes Endangered variety ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Achyranthes_splendens.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/achsple.zip 
Adenophorus abietinus ,Grammitidaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_abietinus.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adeabie.zip 
Adenophorus epigaeus ,Grammitidaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_epigaeus.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adeepig.zip 
Adenophorus haalilioanus ,Grammitidaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_haalilioanus.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adehaal.zip 
Adenophorus hymenophylloides ,Grammitidaceae ,Palai huna ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_hymenophylloides.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adehyme.zip 
Adenophorus oahuensis ,Grammitidaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_oahuensis.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adeoahu.zip 
Adenophorus periens ,Grammitidaceae ,Palai la_‘au ,Endangered ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_periens.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adeperi.zip 
Adenophorus pinnatifidus ,Grammitidaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_pinnatifidus.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adepinn.zip 
Adenophorus tamariscinus ,Grammitidaceae ,Wahine noho mauna ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_tamariscinus.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adetama.zip 
Adenophorus tripinnatifidus ,Grammitidaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenophorus_tripinnatifidus.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adetrip.zip 
Adenostemma viscosum ,Asteraceae ,Ka_manamana ,Apparently Secure ,Indigenous ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adenostemma_viscosum.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adevisc.zip 
Adiantum capillus-veneris ,Pteridaceae ,‘Iwa‘iwa ,Apparently Secure ,Indigenous ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Adiantum_capillus-veneris.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/adicapi.zip 
Agrostis avenacea (see Lachnagrostis filiformis) ,,,,,,http://pubs.usgs.gov/of/2012/1192/jpgs/Lachnagrostis_filiformis.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/lafili.zip 
Agrostis sandwicensis ,Poaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Agrostis_sandwicensis.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/agrsand.zip 
Alectryon macrococcus ,Sapindaceae ,Ma_hoe ,Endangered ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Alectryon_macrococcus.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/alemacr.zip 
Alphitonia ponderosa ,Rhamnaceae ,Kauila ,Rare ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Alphitonia_ponderosa.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/alppond.zip 
Alsinidendron lychnoides (see Schiedea lychnoides) ,,,,,,http://pubs.usgs.gov/of/2012/1192/jpgs/Schiedea_lychnoides.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/schlych.zip 
Alsinidendron obovatum (see Schiedea obovata) ,,,,,,http://pubs.usgs.gov/of/2012/1192/jpgs/Schiedea_obovata.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/schobov.zip 
Alsinidendron trinerve (see Schiedea trinervis) ,,,,,,http://pubs.usgs.gov/of/2012/1192/jpgs/Schiedea_trinervis.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/schtrin.zip 
Alsinidendron viscosum (see Schiedea viscosa) ,,,,,,http://pubs.usgs.gov/of/2012/1192/jpgs/Schiedea_viscosa.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/schvisc.zip 
Alyxia oliviformis (see Alyxia stellata) ,,,,,,http://pubs.usgs.gov/of/2012/1192/jpgs/Alyxia_stellata.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/alystel.zip 
Alyxia stellata ,Apocynaceae ,Maile ,Apparently Secure ,Indigenous ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Alyxia_stellata.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/alystel.zip 
Amauropelta globulifera (see Thelypteris globulifera) ,,,,,,http://pubs.usgs.gov/of/2012/1192/jpgs/Thelypteris_globulifera.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/theglob.zip 
Anoectochilus sandvicensis ,Orchidaceae ,n/a ,Rare ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Anoectochilus_sandvicensis.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/anosand.zip 
Antidesma platyphyllum ,Phyllanthaceae ,Hamehame ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Antidesma_platyphyllum.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/antplat.zip 
Antidesma pulvinatum ,Phyllanthaceae ,Hamehame ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Antidesma_pulvinatum.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/antpulv.zip 
Arachniodes insularis ,Dryopteridaceae ,n/a ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Arachniodes_insularis.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/arainsu.zip 
Argemone glauca ,Papaveraceae ,Pua kala ,Apparently Secure ,Endemic ,Model ,http://pubs.usgs.gov/of/2012/1192/jpgs/Argemone_glauca.jpg ,http://pubs.usgs.gov/of/2012/1192/shapefiles/argglau.zip 
