Sites,plantName,GRIDCODE,Lat,Long
Haleakala,acakoa,2,20.8000,-156.2340
Haleakala,adeabie,2,20.8000,-156.2340
Haleakala,adehyme,2,20.8000,-156.2340
Haleakala,adeperi,2,20.8000,-156.2340
Haleakala,adepinn,2,20.8000,-156.2340
Haleakala,adetama,2,20.8000,-156.2340
Haleakala,adetrip,2,20.8000,-156.2340
Haleakala,adicapi,2,20.8000,-156.2340
Haleakala,agrsand,2,20.8000,-156.2340
Haleakala,alppond,2,20.8000,-156.2340
Haleakala,alystel,2,20.8000,-156.2340
Haleakala,anosand,2,20.8000,-156.2340
Haleakala,antplat,2,20.8000,-156.2340
Haleakala,arainsu,2,20.8000,-156.2340
Haleakala,argcali,1,20.8000,-156.2340
Haleakala,arggray,2,20.8000,-156.2340
Haleakala,argvire,2,20.8000,-156.2340
Haleakala,artmaui,2,20.8000,-156.2340
Haleakala,aspacum,2,20.8000,-156.2340
Haleakala,aspadia,2,20.8000,-156.2340
Haleakala,aspaeth,2,20.8000,-156.2340
Haleakala,aspcont,2,20.8000,-156.2340
Haleakala,aspexci,2,20.8000,-156.2340
Haleakala,asphale,2,20.8000,-156.2340
Haleakala,asphobd,2,20.8000,-156.2340
Haleakala,aspinsi,2,20.8000,-156.2340
Haleakala,aspkaul,2,20.8000,-156.2340
Haleakala,asplobu,2,20.8000,-156.2340
Haleakala,aspmacr,2,20.8000,-156.2340
Haleakala,aspmona,2,20.8000,-156.2340
Haleakala,aspnorm,2,20.8000,-156.2340
Haleakala,aspperu,2,20.8000,-156.2340
Haleakala,asppoly,2,20.8000,-156.2340
Haleakala,aspschi,2,20.8000,-156.2340
Haleakala,aspsphe,2,20.8000,-156.2340
Haleakala,asptric,2,20.8000,-156.2340
Haleakala,aspunil,2,20.8000,-156.2340
Haleakala,astmenz,2,20.8000,-156.2340
Haleakala,athmicr,2,20.8000,-156.2340
Haleakala,bidcamp,2,20.8000,-156.2340
Haleakala,bidconj,1,20.8000,-156.2340
Haleakala,bidmicr,2,20.8000,-156.2340
Haleakala,boegran,2,20.8000,-156.2340
Haleakala,broargu,2,20.8000,-156.2340
Haleakala,calbald,2,20.8000,-156.2340
Haleakala,calexpa,2,20.8000,-156.2340
Haleakala,calhill,1,20.8000,-156.2340
Haleakala,caralli,2,20.8000,-156.2340
Haleakala,carechi,2,20.8000,-156.2340
Haleakala,carmacl,2,20.8000,-156.2340
Haleakala,carmeye,2,20.8000,-156.2340
Haleakala,carmont,2,20.8000,-156.2340
Haleakala,carthun,2,20.8000,-156.2340
Haleakala,carwahu,2,20.8000,-156.2340
Haleakala,chacela,2,20.8000,-156.2340
Haleakala,chaobov,2,20.8000,-156.2340
Haleakala,chaovat,2,20.8000,-156.2340
Haleakala,cheoahu,2,20.8000,-156.2340
Haleakala,chetrig,2,20.8000,-156.2340
Haleakala,cibcham,2,20.8000,-156.2340
Haleakala,cibglau,2,20.8000,-156.2340
Haleakala,cibmenz,2,20.8000,-156.2340
Haleakala,clajama,2,20.8000,-156.2340
Haleakala,clasand,2,20.8000,-156.2340
Haleakala,clearbo,2,20.8000,-156.2340
Haleakala,clegran,2,20.8000,-156.2340
Haleakala,clekake,2,20.8000,-156.2340
Haleakala,clelind,2,20.8000,-156.2340
Haleakala,clemicr,1,20.8000,-156.2340
Haleakala,cleoblo,2,20.8000,-156.2340
Haleakala,clesamu,2,20.8000,-156.2340
Haleakala,cletube,2,20.8000,-156.2340
Haleakala,cocorbi,2,20.8000,-156.2340
Haleakala,conpilo,2,20.8000,-156.2340
Haleakala,coperno,2,20.8000,-156.2340
Haleakala,copfoli,2,20.8000,-156.2340
Haleakala,copmont,2,20.8000,-156.2340
Haleakala,copochr,2,20.8000,-156.2340
Haleakala,coppube,2,20.8000,-156.2340
Haleakala,coprhyn,2,20.8000,-156.2340
Haleakala,coptern,1,20.8000,-156.2340
Haleakala,ctelati,2,20.8000,-156.2340
Haleakala,cyaacul,2,20.8000,-156.2340
Haleakala,cyaarbo,2,20.8000,-156.2340
Haleakala,cyacope,2,20.8000,-156.2340
Haleakala,cyaglab,2,20.8000,-156.2340
Haleakala,cyahama,2,20.8000,-156.2340
Haleakala,cyahorr,2,20.8000,-156.2340
Haleakala,cyakunt,2,20.8000,-156.2340
Haleakala,cyalong2,2,20.8000,-156.2340
Haleakala,cyamacr,2,20.8000,-156.2340
Haleakala,cyaobtu,2,20.8000,-156.2340
Haleakala,cyascab,1,20.8000,-156.2340
Haleakala,cycboyd,2,20.8000,-156.2340
Haleakala,cyccyat,2,20.8000,-156.2340
Haleakala,cycsand,2,20.8000,-156.2340
Haleakala,cyphill,2,20.8000,-156.2340
Haleakala,cyphypo,2,20.8000,-156.2340
Haleakala,cyppenn,2,20.8000,-156.2340
Haleakala,cypphle,2,20.8000,-156.2340
Haleakala,cyppoly,2,20.8000,-156.2340
Haleakala,cypsand,2,20.8000,-156.2340
Haleakala,cyrbise,2,20.8000,-156.2340
Haleakala,cyrcary,2,20.8000,-156.2340
Haleakala,cyrferr,2,20.8000,-156.2340
Haleakala,cyrgray1,1,20.8000,-156.2340
Haleakala,cyrgray2,2,20.8000,-156.2340
Haleakala,cyrhash,2,20.8000,-156.2340
Haleakala,cyrhawa,2,20.8000,-156.2340
Haleakala,cyrlydg,1,20.8000,-156.2340
Haleakala,cyroxyb,1,20.8000,-156.2340
Haleakala,cyrpalu,2,20.8000,-156.2340
Haleakala,cyrplat,2,20.8000,-156.2340
