"plantName","Sites","GRIDCODE","name","syn","family","conservationStatus","siteCode"
"acakoa","Kokee",2,"Acacia koa",NA,"Fabaceae","Apparently Secure","KoK"
"acakoa","Kiluea",1,"Acacia koa",NA,"Fabaceae","Apparently Secure","Kil"
"acakoa","Kohala",1,"Acacia koa",NA,"Fabaceae","Apparently Secure","Koh"
"acakoa","Haleakala",2,"Acacia koa",NA,"Fabaceae","Apparently Secure","Hal"
"acakoai","Kohala",2,"Acacia koaia",NA,"Fabaceae","Vulnerable","Koh"
"acakoai","Kiluea",1,"Acacia koaia",NA,"Fabaceae","Vulnerable","Kil"
"acakoai","Kokee",2,"Acacia koaia",NA,"Fabaceae","Vulnerable","KoK"
"achmuti","Kohala",2,"Achyranthes mutica",NA,"Amaranthaceae","Endangered","Koh"
"adeabie","Kokee",2,"Adenophorus abietinus",NA,"Grammitidaceae","Apparently Secure","KoK"
"adeabie","Haleakala",2,"Adenophorus abietinus",NA,"Grammitidaceae","Apparently Secure","Hal"
"adeepig","Kokee",2,"Adenophorus epigaeus",NA,"Grammitidaceae","Apparently Secure","KoK"
"adehaal","Kokee",2,"Adenophorus haalilioanus",NA,"Grammitidaceae","Apparently Secure","KoK"
"adehyme","Kohala",2,"Adenophorus hymenophylloides",NA,"Grammitidaceae","Apparently Secure","Koh"
"adehyme","Haleakala",2,"Adenophorus hymenophylloides",NA,"Grammitidaceae","Apparently Secure","Hal"
"adehyme","Kiluea",2,"Adenophorus hymenophylloides",NA,"Grammitidaceae","Apparently Secure","Kil"
"adehyme","Kokee",2,"Adenophorus hymenophylloides",NA,"Grammitidaceae","Apparently Secure","KoK"
"adeperi","Kiluea",2,"Adenophorus periens",NA,"Grammitidaceae","Endangered","Kil"
"adeperi","Haleakala",2,"Adenophorus periens",NA,"Grammitidaceae","Endangered","Hal"
"adeperi","Kohala",2,"Adenophorus periens",NA,"Grammitidaceae","Endangered","Koh"
"adeperi","Kokee",2,"Adenophorus periens",NA,"Grammitidaceae","Endangered","KoK"
"adepinn","Haleakala",2,"Adenophorus pinnatifidus",NA,"Grammitidaceae","Apparently Secure","Hal"
"adepinn","Kiluea",2,"Adenophorus pinnatifidus",NA,"Grammitidaceae","Apparently Secure","Kil"
"adepinn","Kokee",2,"Adenophorus pinnatifidus",NA,"Grammitidaceae","Apparently Secure","KoK"
"adetama","Kiluea",2,"Adenophorus tamariscinus",NA,"Grammitidaceae","Apparently Secure","Kil"
"adetama","Kokee",2,"Adenophorus tamariscinus",NA,"Grammitidaceae","Apparently Secure","KoK"
"adetama","Haleakala",2,"Adenophorus tamariscinus",NA,"Grammitidaceae","Apparently Secure","Hal"
"adetrip","Haleakala",2,"Adenophorus tripinnatifidus",NA,"Grammitidaceae","Apparently Secure","Hal"
"adetrip","Kohala",2,"Adenophorus tripinnatifidus",NA,"Grammitidaceae","Apparently Secure","Koh"
"adetrip","Kiluea",2,"Adenophorus tripinnatifidus",NA,"Grammitidaceae","Apparently Secure","Kil"
"adetrip","Kokee",2,"Adenophorus tripinnatifidus",NA,"Grammitidaceae","Apparently Secure","KoK"
"adevisc","Kokee",2,"Adenostemma viscosum",NA,"Asteraceae","Apparently Secure","KoK"
"adicapi","Kohala",1,"Adiantum capillus-veneris",NA,"Pteridaceae","Apparently Secure","Koh"
"adicapi","Kiluea",1,"Adiantum capillus-veneris",NA,"Pteridaceae","Apparently Secure","Kil"
"adicapi","Haleakala",2,"Adiantum capillus-veneris",NA,"Pteridaceae","Apparently Secure","Hal"
"adicapi","Kokee",2,"Adiantum capillus-veneris",NA,"Pteridaceae","Apparently Secure","KoK"
"agrsand","Kokee",2,"Agrostis sandwicensis",NA,"Poaceae","Apparently Secure","KoK"
"agrsand","Haleakala",2,"Agrostis sandwicensis",NA,"Poaceae","Apparently Secure","Hal"
"agrsand","Kiluea",2,"Agrostis sandwicensis",NA,"Poaceae","Apparently Secure","Kil"
"agrsand","Kohala",2,"Agrostis sandwicensis",NA,"Poaceae","Apparently Secure","Koh"
"alemacr","Kokee",2,"Alectryon macrococcus",NA,"Sapindaceae","Endangered","KoK"
"alppond","Haleakala",2,"Alphitonia ponderosa",NA,"Rhamnaceae","Rare","Hal"
"alppond","Kokee",2,"Alphitonia ponderosa",NA,"Rhamnaceae","Rare","KoK"
"alppond","Kiluea",2,"Alphitonia ponderosa",NA,"Rhamnaceae","Rare","Kil"
"alppond","Kohala",1,"Alphitonia ponderosa",NA,"Rhamnaceae","Rare","Koh"
"alystel","Kokee",2,"Alyxia oliviformis","Alyxia stellata","","","KoK"
"alystel","Kokee",2,"Alyxia stellata","Alyxia oliviformis","Apocynaceae","Apparently Secure","KoK"
"alystel","Haleakala",2,"Alyxia oliviformis","Alyxia stellata","","","Hal"
"alystel","Haleakala",2,"Alyxia stellata","Alyxia oliviformis","Apocynaceae","Apparently Secure","Hal"
"alystel","Kiluea",2,"Alyxia oliviformis","Alyxia stellata","","","Kil"
"alystel","Kiluea",2,"Alyxia stellata","Alyxia oliviformis","Apocynaceae","Apparently Secure","Kil"
"alystel","Kohala",2,"Alyxia oliviformis","Alyxia stellata","","","Koh"
"alystel","Kohala",2,"Alyxia stellata","Alyxia oliviformis","Apocynaceae","Apparently Secure","Koh"
"anosand","Haleakala",2,"Anoectochilus sandvicensis",NA,"Orchidaceae","Rare","Hal"
"anosand","Kokee",2,"Anoectochilus sandvicensis",NA,"Orchidaceae","Rare","KoK"
"anosand","Kohala",2,"Anoectochilus sandvicensis",NA,"Orchidaceae","Rare","Koh"
"anosand","Kiluea",2,"Anoectochilus sandvicensis",NA,"Orchidaceae","Rare","Kil"
"antplat","Haleakala",2,"Antidesma platyphyllum",NA,"Phyllanthaceae","Apparently Secure","Hal"
"antplat","Kokee",2,"Antidesma platyphyllum",NA,"Phyllanthaceae","Apparently Secure","KoK"
"antplat","Kiluea",2,"Antidesma platyphyllum",NA,"Phyllanthaceae","Apparently Secure","Kil"
"antplat","Kohala",2,"Antidesma platyphyllum",NA,"Phyllanthaceae","Apparently Secure","Koh"
"arainsu","Kiluea",1,"Arachniodes insularis",NA,"Dryopteridaceae","Apparently Secure","Kil"
"arainsu","Kokee",2,"Arachniodes insularis",NA,"Dryopteridaceae","Apparently Secure","KoK"
"arainsu","Haleakala",2,"Arachniodes insularis",NA,"Dryopteridaceae","Apparently Secure","Hal"
"arainsu","Kohala",2,"Arachniodes insularis",NA,"Dryopteridaceae","Apparently Secure","Koh"
