"siteCode","name","island","age_mya","metric","statistic","z.value","p.value","null.mod","nsim"
"Kil","Kilauea","Hawaii",3e-04,"nodf",7.31132502856008,1.9838313830881,0.045,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"mod.rand.walk",0.594685257022919,7.10620246502107,0.001,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"mod.dendro",0.644243923464702,8.63648920988307,0.001,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"nmod.rand.walk",32,-1.78497776938942,0.078,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"nmod.dendro",24,1.61742835298459,0.126,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"nodf",7.53942486085343,1.44526827258265,0.14,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"mod.rand.walk",0.592751479289941,2.5120957730031,0.012,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"mod.dendro",0.654644970414201,3.26234970885248,0.001,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"nmod.rand.walk",26,-1.50580413436998,0.138,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"nmod.dendro",16,-0.263001075415955,0.848,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"nodf",7.52514673335788,-0.906986722639113,0.359,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"mod.rand.walk",0.580744927020292,9.57949184523576,0.001,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"mod.dendro",0.658352616589534,14.7188952566916,0.001,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"nmod.rand.walk",30,-1.07562189101207,0.28,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"nmod.dendro",20,-0.682888801816258,0.552,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"nodf",4.70245303976842,-5.758127764849,0.001,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"mod.rand.walk",0.635005290400069,11.0514872751006,0.001,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"mod.dendro",0.68975378192113,14.2788853384736,0.001,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"nmod.rand.walk",38,-0.83373910668738,0.418,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"nmod.dendro",25,0.588700989143589,0.617,"prob.null1",1000
