"siteCode","name","island","age_mya","metric","statistic","z.value","p.value","null.mod","nsim"
"Kil","Kilauea","Hawaii",3e-04,"nodf",11.765285185441,11.2339826887972,0.001,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"mod.rand.walk",0.602622457196877,-4.19801926535697,0.001,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"mod.dendro",0.625818423724659,-5.92446954623967,0.001,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"nmod.rand.walk",16,-2.46829741378889,0.015,"prob.null1",1000
"Kil","Kilauea","Hawaii",3e-04,"nmod.dendro",13,-2.61857833058384,0.014,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"nodf",14.0462161295495,4.72704604300595,0.001,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"mod.rand.walk",0.65883875739645,-3.25883348397829,0.003,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"mod.dendro",0.65883875739645,-3.35987561660307,0.003,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"nmod.rand.walk",7,-2.27265451275083,0.045,"prob.null1",1000
"Koh","Kohala","Hawaii",0.15,"nmod.dendro",7,-2.24201822993979,0.041,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"nodf",8.0501147304426,6.53137361647481,0.001,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"mod.rand.walk",0.673728,-5.35124829115843,0.001,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"mod.dendro",0.677792,-6.22013492992246,0.001,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"nmod.rand.walk",18,-1.48608444820159,0.166,"prob.null1",1000
"Hal","Haleakala","Maui",0.75,"nmod.dendro",17,-1.51903972802077,0.17,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"nodf",5.98678569627276,5.1880806700261,0.001,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"mod.rand.walk",0.771481044208316,-1.50148601754366,0.133,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"mod.dendro",0.791383219954648,-1.60103395564366,0.109,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"nmod.rand.walk",22,-3.26207716575926,0.002,"prob.null1",1000
"KoK","Kokee","Kauai",5.1,"nmod.dendro",18,-3.48356356894142,0.002,"prob.null1",1000
