"siteCode","name","island","age_mya","metric","statistic","z.value","p.value","null.mod","nsim"
"Kil","Kilauea","Hawaii",3e-04,"nodf",11.765285185441,-5.31444410943936,0.001,"qswap.null",1000
"Kil","Kilauea","Hawaii",3e-04,"mod.rand.walk",0.602622457196877,5.88685803503615,0.001,"qswap.null",1000
"Kil","Kilauea","Hawaii",3e-04,"mod.dendro",0.625818423724659,7.63087584083872,0.001,"qswap.null",1000
"Kil","Kilauea","Hawaii",3e-04,"nmod.rand.walk",16,-1.73504290061202,0.098,"qswap.null",1000
"Kil","Kilauea","Hawaii",3e-04,"nmod.dendro",13,-1.02827852295769,0.337,"qswap.null",1000
"Koh","Kohala","Hawaii",0.15,"nodf",14.0462161295495,-5.91131254801306,0.001,"qswap.null",1000
"Koh","Kohala","Hawaii",0.15,"mod.rand.walk",0.65883875739645,5.72647970241566,0.001,"qswap.null",1000
"Koh","Kohala","Hawaii",0.15,"mod.dendro",0.65883875739645,5.95651763952281,0.001,"qswap.null",1000
"Koh","Kohala","Hawaii",0.15,"nmod.rand.walk",7,-1.18923066878201,0.32,"qswap.null",1000
"Koh","Kohala","Hawaii",0.15,"nmod.dendro",7,-0.538978794818442,0.728,"qswap.null",1000
"Hal","Haleakala","Maui",0.75,"nodf",8.0501147304426,-11.4078182234254,0.001,"qswap.null",1000
"Hal","Haleakala","Maui",0.75,"mod.rand.walk",0.673728,7.28552671436455,0.001,"qswap.null",1000
"Hal","Haleakala","Maui",0.75,"mod.dendro",0.677792,8.30233979314083,0.001,"qswap.null",1000
"Hal","Haleakala","Maui",0.75,"nmod.rand.walk",18,-0.11103949825967,1,"qswap.null",1000
"Hal","Haleakala","Maui",0.75,"nmod.dendro",17,1.1842729449442,0.246,"qswap.null",1000
"KoK","Kokee","Kauai",5.1,"nodf",5.98678569627276,-11.2772898884859,0.001,"qswap.null",1000
"KoK","Kokee","Kauai",5.1,"mod.rand.walk",0.771481044208316,12.9025874742895,0.001,"qswap.null",1000
"KoK","Kokee","Kauai",5.1,"mod.dendro",0.791383219954648,15.1702379974001,0.001,"qswap.null",1000
"KoK","Kokee","Kauai",5.1,"nmod.rand.walk",22,-3.4161246250379,0.002,"qswap.null",1000
"KoK","Kokee","Kauai",5.1,"nmod.dendro",18,-0.619779442685019,0.58,"qswap.null",1000
