"siteCode","name","island","age_mya","metric","statistic","z.value","p.value","null.mod","nsim"
"Kil","Kilauea","Hawaii",3e-04,"nodf",8.68527280486148,17.4631949751131,0.001,"prob.null1",999
"Kil","Kilauea","Hawaii",3e-04,"mod.rand.walk",0.625149191142079,1.13546916647811,0.245,"prob.null1",999
"Kil","Kilauea","Hawaii",3e-04,"mod.dendro",0.633600667731166,-3.75964617628894,0.001,"prob.null1",999
"Kil","Kilauea","Hawaii",3e-04,"nmod.rand.walk",29,-4.19564232700285,0.001,"prob.null1",999
"Kil","Kilauea","Hawaii",3e-04,"nmod.dendro",26,-0.0506071777546698,1,"prob.null1",999
"Koh","Kohala","Hawaii",0.15,"nodf",9.68475805362999,14.7407530618394,0.001,"prob.null1",999
"Koh","Kohala","Hawaii",0.15,"mod.rand.walk",0.581887840661845,-4.23070784360313,0.001,"prob.null1",999
"Koh","Kohala","Hawaii",0.15,"mod.dendro",0.631741213095862,-5.90613498602174,0.001,"prob.null1",999
"Koh","Kohala","Hawaii",0.15,"nmod.rand.walk",28,-2.51481905211052,0.013,"prob.null1",999
"Koh","Kohala","Hawaii",0.15,"nmod.dendro",22,-1.04308682451756,0.35,"prob.null1",999
"Hal","Haleakala","Maui",0.75,"nodf",8.39246761348551,16.1127775168803,0.001,"prob.null1",999
"Hal","Haleakala","Maui",0.75,"mod.rand.walk",0.648661550468261,5.62264135338952,0.001,"prob.null1",999
"Hal","Haleakala","Maui",0.75,"mod.dendro",0.672341311134235,3.42532958199922,0.001,"prob.null1",999
"Hal","Haleakala","Maui",0.75,"nmod.rand.walk",27,-4.52722199055154,0.001,"prob.null1",999
"Hal","Haleakala","Maui",0.75,"nmod.dendro",29,0.877947032910346,0.376,"prob.null1",999
"KoK","Kokee","Kauai",5.1,"nodf",5.83188094146593,8.34549138649556,0.001,"prob.null1",999
"KoK","Kokee","Kauai",5.1,"mod.rand.walk",0.656149875278114,2.42064774276808,0.017,"prob.null1",999
"KoK","Kokee","Kauai",5.1,"mod.dendro",0.704696528413763,1.88912391533863,0.065,"prob.null1",999
"KoK","Kokee","Kauai",5.1,"nmod.rand.walk",43,-3.47578685307316,0.001,"prob.null1",999
"KoK","Kokee","Kauai",5.1,"nmod.dendro",30,-0.210246985878213,0.911,"prob.null1",999
