"siteCode","name","island","age_mya","metric","statistic","z.value","p.value","null.mod","nsim"
"Kil","Kilauea","Hawaii",3e-04,"nodf",8.68527280486148,-7.01044627233718,0.001,"qswap.null",999
"Kil","Kilauea","Hawaii",3e-04,"mod.rand.walk",0.625149191142079,7.59522784909008,0.001,"qswap.null",999
"Kil","Kilauea","Hawaii",3e-04,"mod.dendro",0.633600667731166,14.7788258153319,0.001,"qswap.null",999
"Kil","Kilauea","Hawaii",3e-04,"nmod.rand.walk",29,-1.16843376952862,0.071,"qswap.null",999
"Kil","Kilauea","Hawaii",3e-04,"nmod.dendro",26,-1.75132680244433,0.083,"qswap.null",999
"Koh","Kohala","Hawaii",0.15,"nodf",9.68475805362999,-8.45352057366985,0.001,"qswap.null",999
"Koh","Kohala","Hawaii",0.15,"mod.rand.walk",0.581887840661845,6.96181260025797,0.001,"qswap.null",999
"Koh","Kohala","Hawaii",0.15,"mod.dendro",0.631741213095862,13.8397536598989,0.001,"qswap.null",999
"Koh","Kohala","Hawaii",0.15,"nmod.rand.walk",28,0.237779258911748,0.843,"qswap.null",999
"Koh","Kohala","Hawaii",0.15,"nmod.dendro",22,-0.0323957465951193,1,"qswap.null",999
"Hal","Haleakala","Maui",0.75,"nodf",8.39246761348551,-9.1564194289972,0.001,"qswap.null",999
"Hal","Haleakala","Maui",0.75,"mod.rand.walk",0.648661550468261,11.0785922066371,0.001,"qswap.null",999
"Hal","Haleakala","Maui",0.75,"mod.dendro",0.672341311134235,18.2899551244451,0.001,"qswap.null",999
"Hal","Haleakala","Maui",0.75,"nmod.rand.walk",27,-1.0764507798297,0.245,"qswap.null",999
"Hal","Haleakala","Maui",0.75,"nmod.dendro",29,-2.48804178438966,0.016,"qswap.null",999
"KoK","Kokee","Kauai",5.1,"nodf",5.83188094146593,-14.1645189590841,0.001,"qswap.null",999
"KoK","Kokee","Kauai",5.1,"mod.rand.walk",0.656149875278114,9.29913029340466,0.001,"qswap.null",999
"KoK","Kokee","Kauai",5.1,"mod.dendro",0.704696528413763,18.9832321389076,0.001,"qswap.null",999
"KoK","Kokee","Kauai",5.1,"nmod.rand.walk",43,-0.50891994657212,0.574,"qswap.null",999
"KoK","Kokee","Kauai",5.1,"nmod.dendro",30,-2.13592079739889,0.028,"qswap.null",999
