"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6776374, 0.5410747, 0.8126351,-4.67566132,-8.73702529,-0.83281800, 30
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6594005, 0.5054292, 0.7926317,-3.96920982,-9.35779015,-0.12769964, 30
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.7125211, 0.5612988, 0.8765452,-3.01577697,-8.73244309, 1.63701049, 30
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7406572, 0.5703041, 0.8657121,-2.07157783,-7.50650250, 1.98549434, 30
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6687644, 0.5303858, 0.8119445,-4.53008799,-8.15576523,-0.73295729, 30
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6581603, 0.5222200, 0.7926317,-3.78954826,-8.58429383,-0.11495175, 30
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.7102479, 0.5625926, 0.8765452,-2.71030048,-7.40558345, 1.62140353, 30
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7385935, 0.5724334, 0.8657121,-1.87223821,-6.73282773, 1.96844761, 30
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,12.0400000, 8.0000000,16.7750000,-2.05485200,-3.97380326,-0.01026275, 30
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000, 8.7400000, 6.0000000,11.7750000,-1.97836120,-3.64543839,-0.32337916, 30
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,12.2000000, 9.0000000,15.7750000,-1.63368064,-3.55826441, 0.08691848, 30
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,13.6200000,11.0000000,16.7750000,-0.82303101,-2.72485776, 1.14913739, 30
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,13.0000000, 7.2250000,17.7750000,-1.80948885,-4.16597949, 0.40014831, 30
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000, 9.3400000, 6.0000000,12.7750000,-1.79196497,-3.21933561, 0.18215229, 30
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,12.4600000, 8.2250000,16.7750000,-1.79382227,-3.72135395, 0.25800518, 30
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,13.8600000,11.0000000,17.0000000,-0.91925629,-2.63932417, 1.10790401, 30
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,11.7953481, 3.5251297,21.4987334, 6.01895907, 0.05173982,11.45825206, 30
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000,10.6588614, 1.5396490,19.0907302, 4.06490726,-1.23924839, 9.74590896, 30
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.6457608, 1.4669018,16.6256834, 4.11638606,-1.09117820,10.33860258, 30
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 7.3984795, 0.5941024,17.6847165, 2.33792879,-2.21706572, 7.36102158, 30
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6768171, 0.5699194, 0.8053149,-5.33715924,-8.44443633,-1.07043429, 45
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6621790, 0.5638905, 0.7708843,-4.97174764,-8.35481050,-1.42466474, 45
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.7096862, 0.6163777, 0.8127069,-3.31935072,-6.45389003, 0.19024857, 45
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7592575, 0.6412520, 0.8588464,-1.72299893,-6.27059408, 2.15965155, 45
