"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6776374, 0.5410747, 0.8126351,-4.67400037,-8.71880328,-0.83430377, 30
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6594005, 0.5054292, 0.7926317,-3.94907106,-9.78279892,-0.14120377, 30
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.7125211, 0.5612988, 0.8765452,-3.00441714,-8.37323140, 1.63376823, 30
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7406572, 0.5703041, 0.8657121,-2.04131567,-7.09209821, 1.97199367, 30
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6687644, 0.5303858, 0.8119445,-4.51788726,-8.12624145,-0.73871148, 30
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6581603, 0.5222200, 0.7926317,-3.76815334,-8.81915076,-0.13096817, 30
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.7102479, 0.5625926, 0.8765452,-2.70463050,-7.16057565, 1.62539620, 30
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7385935, 0.5724334, 0.8657121,-1.85101218,-6.65181380, 1.95283512, 30
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,12.0400000, 8.0000000,16.7750000,-2.05445832,-4.00250314,-0.06250678, 30
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000, 8.7400000, 6.0000000,11.7750000,-1.96388023,-3.54658030,-0.35692294, 30
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,12.2000000, 9.0000000,15.7750000,-1.63474587,-3.55976463, 0.08326632, 30
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,13.6200000,11.0000000,16.7750000,-0.81419465,-2.67770544, 1.08940679, 30
