"degree","normalised.degree","nestedrank","betweenness","weighted.betweenness","closeness","weighted.closeness","evcent","Taxon","Endemicity","site","max.degree","missing.degree"
2,0.0357142857142857,0.203252032520325,0,0,0.00802047781569966,0.00518244888788263,0.0543972429140459,"Aloha swezeyi","Cosmo","Kil",56,54
1,0.0178571428571429,0.300813008130081,0,0,0.00622866894197952,0.00334257445973281,0.00458972774271492,"Aloha ipomoeae","Cosmo","Kil",56,55
1,0.0178571428571429,0.308943089430894,0,0,0.00772793759141882,0.00395399182403817,0.0220277883179132,"Aloha myoporicola","Endem","Kil",56,55
1,0.0178571428571429,0.317073170731707,0,0,0.00828863968795709,0.00405799836871162,0.0707379706116404,"Balclutha lobata","Cosmo","Kil",56,55
6,0.107142857142857,0.032520325203252,0.0617905309227844,0.0553845686377448,0.0106045831301804,0.00609595560686149,0.263988107961872,"Balclutha plutonis","Cosmo","Kil",56,50
1,0.0178571428571429,0.32520325203252,0,0,0.00828863968795709,0.00405799836871162,0.0707379706116404,"Balclutha usitata","Cosmo","Kil",56,55
2,0.0357142857142857,0.211382113821138,0,0,0.0068137493905412,0.00355859264163435,0.0186403911967697,"Balclutha volcanicola","Cosmo","Kil",56,54
1,0.0178571428571429,0.333333333333333,0,0,0.00838615309605071,0.00414479233006868,0.0561229814393754,"Balolina kilaueae","Cosmo","Kil",56,55
1,0.0178571428571429,0.341463414634146,0,0,0.00647245246221355,0.00348670188119729,0.00768711087152503,"Emoloana sporobolicola immaculata","Endem","Kil",56,55
2,0.0357142857142857,0.219512195121951,0,0,0.00647245246221355,0.00348670188119729,0.00790444552373808,"Emoloana sporobolicola","Cosmo","Kil",56,54
4,0.0714285714285714,0.0975609756097561,0.0565472363372233,0.0235425788420217,0.0112627986348123,0.00580079380297922,0.239600796505649,"Glyptonysius amicola","Cosmo","Kil",56,52
1,0.0178571428571429,0.349593495934959,0,0,0.00977571916138469,0.00451589188864801,0.165816896673287,"Leialoha hawaiiensis","Endem","Kil",56,55
