"degree","normalised.degree","nestedrank","betweenness","weighted.betweenness","closeness","weighted.closeness","evcent","Taxon","Endemicity","site","max.degree","missing.degree"
4,0.03125,0.268292682926829,0,0,0.00803301103623401,0.004226123339336,0.0467727495206658,"Aloha swezeyi","Cosmo","Kil",128,124
1,0.0078125,0.495934959349593,0,0,0.00623840218771364,0.00227138415804688,0.00156057609663119,"Aloha ipomoeae","Cosmo","Kil",128,127
1,0.0078125,0.504065040650406,0,0,0.00774001367321027,0.00247354888800469,0.00567488358300983,"Aloha myoporicola","Endem","Kil",128,127
1,0.0078125,0.51219512195122,0,0,0.0083015919523391,0.00249468988046726,0.0280901179013776,"Balclutha lobata","Cosmo","Kil",128,127
14,0.109375,0.040650406504065,0.0618059955084631,0.0510170544456699,0.0106211544096103,0.00511771718533615,0.758374982819085,"Balclutha plutonis","Cosmo","Kil",128,114
1,0.0078125,0.520325203252033,0,0,0.0083015919523391,0.00249468988046726,0.0280901179013776,"Balclutha usitata","Cosmo","Kil",128,127
7,0.0546875,0.16260162601626,0,0,0.00682439691376111,0.00327658554958108,0.0252796538991743,"Balclutha volcanicola","Cosmo","Kil",128,121
2,0.015625,0.357723577235772,0,0,0.00817950971774587,0.00338946851030298,0.0329546469739772,"Balolina kilaueae","Cosmo","Kil",128,126
1,0.0078125,0.528455284552846,0,0,0.00648256665690009,0.00233465793528588,0.00736296309549787,"Emoloana sporobolicola immaculata","Endem","Kil",128,127
3,0.0234375,0.300813008130081,0,0,0.00648256665690009,0.00233465793528588,0.00750590823508489,"Emoloana sporobolicola","Cosmo","Kil",128,125
5,0.0390625,0.219512195121951,0.0566314186726845,0.0156546589245565,0.0112803984764137,0.00408253864983954,0.0626610169535582,"Glyptonysius amicola","Cosmo","Kil",128,123
1,0.0078125,0.536585365853659,0,0,0.0097909952143764,0.0027506525659883,0.0355356686338279,"Leialoha hawaiiensis","Endem","Kil",128,127
1,0.0078125,0.544715447154472,0,0,0.0097909952143764,0.0027506525659883,0.0355356686338279,"Leialoha lehuae","Cosmo","Kil",128,127
1,0.0078125,0.552845528455285,0,0,0.0097909952143764,0.0027506525659883,0.0355356686338279,"Leialoha naniicola","Cosmo","Kil",128,127
1,0.0078125,0.560975609756098,0,0,0.0097909952143764,0.0027506525659883,0.0355356686338279,"Leialoha ohiae","Cosmo","Kil",128,127
5,0.0390625,0.227642276422764,0.0302474751200295,0.0101212448080466,0.0107676530911222,0.004147764082598,0.0906789040300467,"Metrarga nuda","Cosmo","Kil",128,123
6,0.046875,0.203252032520325,0.00457122310326171,0.00354593784364953,0.00876550444379334,0.0039913555732213,0.0562137904674256,"Metrarga obscura","Cosmo","Kil",128,122
1,0.0078125,0.569105691056911,0,0,0.00640931731614415,0.00234074464184444,0.00788383368771733,"Neseis whitei brachypterus","Endem","Kil",128,127
9,0.0703125,0.130081300813008,0.0135600958727517,0.00578664728445143,0.00976657876745776,0.00504080107713885,0.676842000172448,"Neseis mauiensis","Cosmo","Kil",128,119
5,0.0390625,0.235772357723577,0.00053519094325265,0,0.00876550444379334,0.00452953049734383,0.175299516381853,"Neseis ochriasis ochriasis","Endem","Kil",128,123
1,0.0078125,0.577235772357724,0,0,0.00820392616466452,0.00248567456244981,0.00535825762573029,"Neseis hiloensis intermedius","Endem","Kil",128,127
1,0.0078125,0.585365853658537,0,0,0.00820392616466452,0.00248567456244981,0.00535825762573029,"Neseis nitida comitans","Endem","Kil",128,127
1,0.0078125,0.59349593495935,0,0,0.00820392616466452,0.00248567456244981,0.00535825762573029,"Neseis nitida pipturi","Endem","Kil",128,127
12,0.09375,0.0731707317073171,0.021961933259343,0.0437640793600421,0.0104258228342612,0.00513959834540512,0.766785360537729,"Neseis fasciata fasciata","Endem","Kil",128,116
9,0.0703125,0.138211382113821,0.0123914476703436,0.0174891177087032,0.00993749389588827,0.00503177593526959,0.684504994172357,"Neseis fasciata hyalina","Endem","Kil",128,119
13,0.1015625,0.0569105691056911,0.0178338044030755,0.0217565006839989,0.00971774587362047,0.00497525753391299,0.695950087417984,"Neseis saundersianus","Cosmo","Kil",128,115
1,0.0078125,0.601626016260163,0,0,0.00803301103623401,0.00248697089170026,0.0176030163327811,"Nesiomiris timberlakei","Endem","Kil",128,127
1,0.0078125,0.609756097560976,0,0,0.00803301103623401,0.00248697089170026,0.0176030163327811,"Nesiomiris williamsi","Endem","Kil",128,127
1,0.0078125,0.617886178861789,0,0,0.00803301103623401,0.00248697089170026,0.0176030163327811,"Nesiomiris pilosus","Endem","Kil",128,127
1,0.0078125,0.626016260162602,0,0,0,NA,0,"Nesiomiris hawaiiensis","Endem","Kil",128,127
2,0.015625,0.365853658536585,0,0,0,NA,0,"Nesodryas swezeyi","Endem","Kil",128,126
1,0.0078125,0.634146341463415,0,0,0.00810626037698994,0.00249687570204056,0.0175590703722946,"Nesophrosyne cinerea","Endem","Kil",128,127
7,0.0546875,0.170731707317073,9.84380367344184e-05,8.08190961515563e-06,0.00915616759449165,0.00495348574243557,0.652793976042957,"Nesophrosyne comma","Endem","Kil",128,121
3,0.0234375,0.308943089430894,0.0240268229267,0.00698681086230204,0.00947358140443403,0.00271020123045107,0.0320792865287648,"Nesophrosyne cuprescens","Endem","Kil",128,125
1,0.0078125,0.642276422764228,0,0,0.00774001367321027,0.00247354888800469,0.00567488358300983,"Nesophrosyne furculata","Endem","Kil",128,127
1,0.0078125,0.650406504065041,0,0,0.00774001367321027,0.00247354888800469,0.00567488358300982,"Nesophrosyne giffardi","Endem","Kil",128,127
1,0.0078125,0.658536585365854,0,0,0,NA,0,"Nesophrosyne heopoko","Endem","Kil",128,127
1,0.0078125,0.666666666666667,0,0,0.00810626037698994,0.00249687570204056,0.0175590703722946,"Nesophrosyne imbricola","Endem","Kil",128,127
1,0.0078125,0.67479674796748,0,0,0.00810626037698994,0.00249687570204056,0.0175590703722947,"Nesophrosyne mabae","Endem","Kil",128,127
1,0.0078125,0.682926829268293,0,0,0.00820392616466452,0.00248567456244981,0.00535825762573029,"Nesophrosyne maritima","Endem","Kil",128,127
1,0.0078125,0.691056910569106,0,0,0.00820392616466452,0.00248567456244981,0.0053582576257303,"Nesophrosyne milu","Endem","Kil",128,127
8,0.0625,0.154471544715447,0.00489400842804514,0,0.00966891297978318,0.00479422794640539,0.247698161810014,"Nesophrosyne monticola","Endem","Kil",128,120
1,0.0078125,0.699186991869919,0,0,0.00810626037698994,0.00249687570204056,0.0175590703722946,"Nesophrosyne nubigena","Endem","Kil",128,127
2,0.015625,0.373983739837398,0,0,0.00582332259009669,0.00301621520303442,0.00422761226313316,"Nesophrosyne ogradyi","Endem","Kil",128,126
5,0.0390625,0.24390243902439,0,0,0,NA,0,"Nesophrosyne palolo","Endem","Kil",128,123
7,0.0546875,0.178861788617886,9.84380367344184e-05,8.08190961515563e-06,0.00915616759449165,0.00495348574243557,0.652793976042957,"Nesophrosyne peleae","Endem","Kil",128,121
2,0.015625,0.382113821138211,0.0185575705555609,0.00560345733317457,0.0105967379626917,0.00297552730924837,0.0530947390061225,"Nesophrosyne procellaris","Endem","Kil",128,126
1,0.0078125,0.707317073170732,0,0,0,NA,0,"Nesophrosyne silvicola","Endem","Kil",128,127
1,0.0078125,0.715447154471545,0,0,0.00788651235472214,0.00246163015946451,0.0276020095605901,"Nesophrosyne silvigena","Cosmo","Kil",128,127
1,0.0078125,0.723577235772358,0,0,0.00626281863463229,0.00229969089889259,0.00746927786228205,"Nesophrosyne aakokohaikea","Endem","Kil",128,127
2,0.015625,0.390243902439024,0,0,0.00682439691376111,0.00327658554958108,0.0240760674902577,"Nesosteles volcanicola","Cosmo","Kil",128,126
2,0.015625,0.398373983739837,0,0,0.00774001367321027,0.00340338312905716,0.0217449078049393,"Nesosydne koae","Cosmo","Kil",128,126
1,0.0078125,0.731707317073171,0,0,0.00640931731614415,0.00234074464184444,0.00788383368771732,"Nesosydne nesopele","Cosmo","Kil",128,127
2,0.015625,0.40650406504065,0,0,0.00774001367321027,0.00340338312905716,0.0217449078049393,"Nesosydne pseudorubescens","Cosmo","Kil",128,126
1,0.0078125,0.739837398373984,0,0,0,NA,0,"Nesosydne aku","Endem","Kil",128,127
1,0.0078125,0.747967479674797,0,0,0.00737376696943061,0.00238000455791657,0.00880650277440314,"Nesosydne anceps","Endem","Kil",128,127
